Symbol,Name,Weight,Price,Chg,% Chg
NVDA,Nvidia,7.11%,181.09,-2.69,(-1.47%)
AAPL,Apple Inc.,6.67%,279.34,0.56,(0.20%)
MSFT,Microsoft,5.72%,476.07,-2.49,(-0.52%)
AMZN,Amazon,3.98%,230.13,-1.66,(-0.71%)
GOOGL,Alphabet Inc. (Class A),3.23%,319.06,-1.15,(-0.36%)
AVGO,Broadcom,3.11%,407.74,-5.23,(-1.27%)
GOOG,Alphabet Inc. (Class C),3.01%,319.91,-1.09,(-0.34%)
META,Meta Platforms,2.63%,644.29,-5.84,(-0.90%)
TSLA,"Tesla, Inc.",2.41%,447.63,-3.82,(-0.85%)
BRK.B,Berkshire Hathaway,1.71%,490.93,0.5,(0.10%)
LLY,Lilly (Eli),1.46%,1006.65,13.01,(1.31%)
WMT,Walmart,1.45%,112.72,-0.47,(-0.41%)
JPM,JPMorgan Chase,1.36%,309.2,-0.91,(-0.29%)
V,Visa Inc.,1.03%,329.95,4.22,(1.30%)
ORCL,Oracle Corporation,0.89%,193.07,-29.94,(-13.43%)
XOM,ExxonMobil,0.81%,119.03,-0.52,(-0.43%)
JNJ,Johnson & Johnson,0.81%,207.01,0.47,(0.23%)
MA,Mastercard,0.79%,541.24,2.38,(0.44%)
PLTR,Palantir Technologies,0.71%,185.2,-2.71,(-1.44%)
ABBV,AbbVie,0.64%,224.93,-0.25,(-0.11%)
NFLX,Netflix,0.64%,93.53,0.82,(0.88%)
BAC,Bank of America,0.64%,54.03,-0.05,(-0.10%)
COST,Costco,0.63%,876.75,2.34,(0.27%)
AMD,Advanced Micro Devices,0.57%,217.94,-3.48,(-1.57%)
HD,Home Depot (The),0.57%,352.59,1.46,(0.42%)
PG,Procter & Gamble,0.53%,140.43,0.61,(0.43%)
CSCO,Cisco,0.51%,80.22,-0.03,(-0.04%)
KO,Coca-Cola Company (The),0.49%,70.35,0.14,(0.20%)
CVX,Chevron Corporation,0.49%,150.9,-0.51,(-0.34%)
GE,GE Aerospace,0.48%,282.85,-0.75,(-0.26%)
UNH,UnitedHealth Group,0.48%,327.91,-0.47,(-0.14%)
MU,Micron Technology,0.47%,260.1,-3.61,(-1.37%)
IBM,IBM,0.47%,311.5,-1.18,(-0.38%)
CAT,Caterpillar Inc.,0.46%,613.63,-1.73,(-0.28%)
WFC,Wells Fargo,0.46%,90.76,0.07,(0.08%)
MS,Morgan Stanley,0.46%,178.7,-1.01,(-0.56%)
GS,Goldman Sachs,0.43%,888.25,-0.99,(-0.11%)
AXP,American Express,0.42%,374.72,-0.85,(-0.23%)
CRM,Salesforce,0.40%,262.53,-1.68,(-0.63%)
MRK,Merck & Co.,0.39%,98.1,0.48,(0.49%)
APP,AppLovin Corporation,0.38%,702.5,-0.78,(-0.11%)
RTX,RTX Corporation,0.38%,174.87,0.15,(0.09%)
PM,Philip Morris International,0.38%,150.08,0.3,(0.20%)
MCD,McDonald's,0.36%,310.28,-0.25,(-0.08%)
TMUS,T-Mobile US,0.35%,195.69,0.37,(0.19%)
AMAT,Applied Materials,0.35%,273.17,-1.98,(-0.72%)
TMO,Thermo Fisher Scientific,0.35%,577.31,3.5,(0.61%)
ABT,Abbott Laboratories,0.34%,122.74,0.19,(0.15%)
LRCX,Lam Research,0.34%,166.5,-1.76,(-1.05%)
PEP,PepsiCo,0.33%,150.15,0.45,(0.30%)
C,Citigroup,0.32%,111.36,0.27,(0.24%)
ISRG,Intuitive Surgical,0.31%,549.25,-6.67,(-1.20%)
DIS,Walt Disney Company (The),0.31%,108.35,-0.48,(-0.45%)
QCOM,Qualcomm,0.31%,180.42,-1.79,(-0.98%)
GEV,GE Vernova,0.31%,711.1,-11.9,(-1.65%)
INTC,Intel,0.31%,40.18,-0.61,(-1.48%)
INTU,Intuit,0.30%,662.5,0.07,(0.01%)
LIN,Linde plc,0.30%,392.92,0.24,(0.06%)
NOW,ServiceNow,0.28%,849.51,-4.05,(-0.47%)
UBER,Uber,0.28%,84.21,0.05,(0.06%)
TJX,TJX Companies,0.28%,156.18,0.51,(0.33%)
T,AT&T,0.28%,24.46,0.06,(0.27%)
SCHW,Charles Schwab Corporation,0.28%,95.86,0.05,(0.05%)
APH,Amphenol,0.28%,139.1,0.42,(0.30%)
ANET,Arista Networks,0.28%,135.2,2.84,(2.14%)
BKNG,Booking Holdings,0.28%,5280.55,3.35,(0.06%)
NEE,NextEra Energy,0.27%,81.55,0.28,(0.34%)
AMGN,Amgen,0.27%,315.37,-0.01,(-0.00%)
VZ,Verizon,0.27%,40.09,0.16,(0.41%)
ACN,Accenture,0.27%,271.16,-1.06,(-0.39%)
BLK,BlackRock,0.27%,1083.03,-0.33,(-0.03%)
TXN,Texas Instruments,0.27%,181.52,-0.15,(-0.08%)
DHR,Danaher Corporation,0.26%,230.02,-0.4,(-0.18%)
KLAC,KLA Corporation,0.26%,1235.22,-3.7,(-0.30%)
BA,Boeing,0.24%,198.7,-0.02,(-0.01%)
COF,Capital One,0.24%,237.49,-0.27,(-0.11%)
GILD,Gilead Sciences,0.24%,121.4,0.06,(0.05%)
SPGI,S&P Global,0.24%,489.25,-2.07,(-0.42%)
PFE,Pfizer,0.24%,25.8,0.02,(0.06%)
ADBE,Adobe Inc.,0.23%,343.75,0.62,(0.18%)
LOW,Lowe's,0.22%,247.0,0.8,(0.32%)
UNP,Union Pacific Corporation,0.22%,233.15,-2.31,(-0.98%)
ADI,Analog Devices,0.22%,281.44,-0.13,(-0.05%)
BSX,Boston Scientific,0.22%,92.79,0.09,(0.10%)
ETN,Eaton Corporation,0.22%,350.56,-2.89,(-0.82%)
SYK,Stryker Corporation,0.22%,354.5,0.69,(0.20%)
PANW,Palo Alto Networks,0.22%,191.75,-1.21,(-0.63%)
WELL,Welltower,0.21%,191.31,0.24,(0.13%)
PGR,Progressive Corporation,0.21%,222.24,-0.57,(-0.26%)
CRWD,CrowdStrike,0.21%,515.13,-4.41,(-0.85%)
MDT,Medtronic,0.21%,100.57,-0.2,(-0.20%)
DE,Deere & Company,0.21%,469.56,0.66,(0.14%)
KKR,KKR,0.20%,141.49,-0.05,(-0.04%)
HON,Honeywell,0.20%,191.61,-0.45,(-0.23%)
PLD,Prologis,0.20%,129.97,0.26,(0.20%)
BX,Blackstone Inc.,0.19%,155.97,-0.63,(-0.41%)
HOOD,"Robinhood Markets, Inc.",0.19%,132.92,-2.74,(-2.02%)
COP,ConocoPhillips,0.19%,96.06,-0.74,(-0.76%)
CB,Chubb Limited,0.19%,297.71,1.16,(0.39%)
VRTX,Vertex Pharmaceuticals,0.18%,444.66,0.02,(0.00%)
PH,Parker Hannifin,0.18%,891.61,2.36,(0.26%)
CEG,Constellation Energy,0.18%,358.01,-4.06,(-1.12%)
LMT,Lockheed Martin,0.18%,468.9,0.96,(0.21%)
HCA,HCA Healthcare,0.17%,466.71,-2.02,(-0.43%)
BMY,Bristol Myers Squibb,0.17%,51.63,0.42,(0.82%)
ADP,Automatic Data Processing,0.17%,259.3,-0.04,(-0.02%)
NEM,Newmont,0.17%,94.4,-0.01,(-0.01%)
MCK,McKesson Corporation,0.16%,814.75,1.64,(0.20%)
CVS,CVS Health,0.16%,79.18,0.21,(0.27%)
CMCSA,Comcast,0.16%,27.54,-0.04,(-0.16%)
MO,Altria,0.16%,58.88,0.19,(0.32%)
NKE,"Nike, Inc.",0.16%,65.71,-0.09,(-0.13%)
CME,CME Group,0.16%,267.68,1.35,(0.51%)
SBUX,Starbucks,0.15%,83.73,-0.13,(-0.15%)
DASH,DoorDash,0.15%,220.08,-0.22,(-0.10%)
DELL,Dell Technologies,0.15%,139.33,-1.31,(-0.93%)
SO,Southern Company,0.15%,84.68,0.6,(0.71%)
GD,General Dynamics,0.15%,341.5,-0.73,(-0.21%)
CDNS,Cadence Design Systems,0.15%,337.53,-0.54,(-0.16%)
ICE,Intercontinental Exchange,0.15%,160.92,0.54,(0.34%)
SNPS,Synopsys,0.15%,477.68,1.85,(0.39%)
DUK,Duke Energy,0.14%,114.33,0.33,(0.29%)
MMC,Marsh McLennan,0.14%,181.3,0.37,(0.20%)
TT,Trane Technologies,0.14%,396.46,-2.68,(-0.67%)
MMM,3M,0.14%,165.49,-0.17,(-0.11%)
APO,Apollo Global Management,0.14%,148.65,-0.43,(-0.29%)
MCO,Moody's Corporation,0.14%,479.9,-0.1,(-0.02%)
UPS,United Parcel Service,0.14%,99.74,0.1,(0.10%)
WM,Waste Management,0.14%,209.8,0.65,(0.31%)
AMT,American Tower,0.14%,180.29,0.03,(0.01%)
BK,BNY Mellon,0.13%,118.57,0.19,(0.16%)
USB,U.S. Bancorp,0.13%,53.12,-0.44,(-0.82%)
PNC,PNC Financial Services,0.13%,207.43,0.46,(0.22%)
SHW,Sherwin-Williams,0.13%,327.06,0.79,(0.24%)
GLW,Corning Inc.,0.13%,93.47,-0.73,(-0.78%)
NOC,Northrop Grumman,0.13%,555.87,0.51,(0.09%)
ORLY,O'Reilly Auto Parts,0.13%,93.63,-0.0,(-0.01%)
HWM,Howmet Aerospace,0.13%,194.67,2.28,(1.19%)
ABNB,Airbnb,0.12%,127.43,-0.14,(-0.11%)
MAR,Marriott International,0.12%,286.9,-0.06,(-0.02%)
REGN,Regeneron Pharmaceuticals,0.12%,725.26,-0.96,(-0.13%)
EMR,Emerson Electric,0.12%,135.5,-1.51,(-1.11%)
ELV,Elevance Health,0.12%,341.5,0.45,(0.13%)
GM,General Motors,0.12%,80.57,-0.23,(-0.28%)
