Symbol,Name,Weight,Price,Chg,% Chg
GS,"The Goldman Sachs Group, Inc.",11.34%,892.75,-14.29,(-1.58%)
CAT,Caterpillar Inc.,7.34%,577.36,-5.64,(-0.97%)
MSFT,Microsoft Corporation,6.18%,486.22,-1.5,(-0.31%)
AXP,American Express Company,4.78%,375.91,-5.15,(-1.35%)
V,Visa Inc.,4.50%,354.51,-0.5,(-0.14%)
HD,"The Home Depot, Inc.",4.42%,347.69,-2.09,(-0.60%)
AMGN,Amgen Inc.,4.18%,329.38,-3.56,(-1.07%)
UNH,UnitedHealth Group Incorporated,4.17%,328.17,-3.66,(-1.10%)
SHW,Sherwin-Williams,4.13%,325.29,-0.15,(-0.05%)
JPM,JPMorgan Chase & Co.,4.12%,324.2,-3.71,(-1.13%)
MCD,McDonald's Corporation,3.92%,308.4,-2.29,(-0.74%)
IBM,International Business Machines Corporation,3.88%,305.68,0.59,(0.19%)
TRV,"The Travelers Companies, Inc.",3.71%,291.98,-0.14,(-0.05%)
AAPL,Apple Inc.,3.48%,273.76,0.36,(0.13%)
CRM,"Salesforce, Inc.",3.39%,267.11,1.03,(0.39%)
AMZN,"Amazon.com, Inc.amazon.com",2.95%,232.2,-0.32,(-0.14%)
BA,The Boeing Company,2.76%,217.5,1.06,(0.49%)
JNJ,Johnson & Johnson,2.63%,207.3,-0.33,(-0.16%)
HON,Honeywell International Inc.,2.51%,197.49,0.12,(0.06%)
NVDA,Nvidia,2.39%,188.03,-2.5,(-1.31%)
MMM,3M Company,2.05%,161.5,-0.58,(-0.36%)
CVX,Chevron Corporation,1.92%,151.23,1.2,(0.80%)
PG,The Procter & Gamble Company,1.84%,144.53,-0.21,(-0.15%)
DIS,The Walt Disney Company,1.45%,114.22,0.66,(0.58%)
WMT,Walmart Inc.,1.43%,112.55,0.81,(0.72%)
MRK,"Merck & Co., Inc.",1.35%,106.45,-0.33,(-0.31%)
CSCO,"Cisco Systems, Inc.",0.99%,77.79,-0.38,(-0.48%)
KO,The Coca-Cola Company,0.89%,70.15,0.27,(0.39%)
NKE,"Nike, Inc.",0.78%,61.2,0.27,(0.44%)
VZ,Verizon Communications Inc.,0.51%,40.48,0.0,(0.00%)
