Symbol,Name,Weight,Price,Chg,% Chg
NVDA,Nvidia,13.34%,184.51,-0.53,(-0.29%)
AAPL,Apple Inc.,11.26%,256.33,-2.72,(-1.05%)
MSFT,Microsoft,10.44%,472.42,-5.69,(-1.19%)
AMZN,Amazon,7.76%,244.1,-2.19,(-0.89%)
GOOGL,Alphabet Inc. (Class A),6.11%,328.63,3.19,(0.98%)
GOOG,Alphabet Inc. (Class C),5.69%,329.17,3.16,(0.97%)
META,Meta Platforms,4.86%,647.95,1.89,(0.29%)
AVGO,Broadcom Inc.,4.76%,337.87,5.39,(1.62%)
TSLA,"Tesla, Inc.",4.33%,438.0,2.2,(0.51%)
ASML,ASML Holding,1.44%,1245.21,50.89,(4.26%)
PLTR,Palantir Technologies,1.25%,175.71,-1.15,(-0.65%)
COST,Costco,1.21%,918.64,3.33,(0.36%)
MU,Micron Technology,1.13%,337.21,10.19,(3.12%)
NFLX,Netflix,1.12%,88.85,-1.68,(-1.86%)
AMD,Advanced Micro Devices Inc.,0.99%,205.08,0.4,(0.20%)
AZN,AstraZeneca,0.88%,95.91,1.9,(2.02%)
CSCO,Cisco,0.87%,73.76,-0.2,(-0.27%)
LRCX,Lam Research,0.79%,211.29,10.33,(5.14%)
AMAT,Applied Materials,0.69%,292.48,10.84,(3.85%)
TMUS,T-Mobile US,0.66%,198.41,0.5,(0.25%)
SHOP,Shopify,0.64%,165.3,-2.98,(-1.77%)
INTC,Intel,0.63%,44.54,3.43,(8.34%)
APP,Applovin Corp,0.63%,624.74,8.21,(1.33%)
ISRG,Intuitive Surgical,0.62%,587.71,2.63,(0.45%)
LIN,Linde plc,0.61%,441.97,2.28,(0.52%)
PEP,PepsiCo,0.57%,139.14,-0.23,(-0.17%)
QCOM,Qualcomm,0.56%,177.16,-4.71,(-2.59%)
KLAC,KLA Corporation,0.54%,1379.66,55.06,(4.16%)
INTU,Intuit,0.53%,644.12,-8.63,(-1.32%)
AMGN,Amgen,0.53%,329.98,-0.13,(-0.04%)
BKNG,Booking Holdings,0.52%,5438.19,-6.81,(-0.12%)
TXN,Texas Instruments,0.51%,189.35,0.9,(0.48%)
PDD,PDD Holdings,0.51%,120.9,-0.7,(-0.58%)
GILD,Gilead Sciences,0.45%,120.65,-0.02,(-0.02%)
ADI,Analog Devices,0.44%,300.28,1.11,(0.37%)
ADBE,Adobe Inc.,0.41%,330.01,-9.03,(-2.66%)
PANW,Palo Alto Networks,0.39%,189.75,-1.05,(-0.55%)
HON,Honeywell,0.39%,204.33,-0.91,(-0.44%)
VRTX,Vertex Pharmaceuticals,0.36%,473.99,4.31,(0.92%)
CRWD,CrowdStrike,0.35%,468.91,5.04,(1.09%)
ARM,Arm Holdings,0.35%,110.99,-2.09,(-1.85%)
MELI,MercadoLibre,0.33%,2174.13,-5.67,(-0.26%)
ADP,ADP,0.32%,266.69,1.02,(0.38%)
CEG,Constellation Energy,0.31%,334.87,12.33,(3.82%)
CMCSA,Comcast,0.30%,27.95,-0.26,(-0.91%)
SBUX,Starbucks,0.30%,87.45,-0.73,(-0.83%)
SNPS,Synopsys,0.29%,515.23,0.74,(0.14%)
DASH,DoorDash,0.27%,213.6,-10.5,(-4.69%)
MAR,Marriott International,0.26%,329.61,4.7,(1.45%)
CDNS,Cadence Design Systems,0.26%,317.39,-1.41,(-0.44%)
REGN,Regeneron Pharmaceuticals,0.26%,818.93,17.92,(2.24%)
ABNB,Airbnb,0.25%,139.15,0.49,(0.35%)
ORLY,O'Reilly Automotive,0.23%,93.08,1.45,(1.58%)
CTAS,Cintas,0.23%,191.52,1.26,(0.66%)
MNST,Monster Beverage,0.22%,77.06,0.46,(0.60%)
WBD,Warner Bros. Discovery,0.21%,28.6,0.28,(1.00%)
MRVL,Marvell Technology,0.21%,82.88,-0.57,(-0.68%)
MDLZ,Mondelez International,0.21%,53.71,-0.28,(-0.52%)
CSX,CSX Corporation,0.19%,35.16,-0.16,(-0.45%)
AEP,American Electric Power,0.19%,117.25,1.32,(1.14%)
PCAR,Paccar,0.18%,118.43,0.23,(0.19%)
ROST,Ross Stores,0.18%,191.17,1.9,(1.00%)
NXPI,NXP Semiconductors,0.18%,239.93,2.04,(0.86%)
ADSK,Autodesk,0.17%,274.2,-2.38,(-0.86%)
FTNT,Fortinet,0.17%,78.07,0.02,(0.02%)
TRI,Thomson Reuters Corporation,0.17%,128.88,-0.5,(-0.39%)
IDXX,Idexx Laboratories,0.17%,713.1,0.71,(0.10%)
WDAY,"Workday, Inc.",0.16%,208.33,-1.47,(-0.70%)
PYPL,PayPal,0.16%,57.59,-0.68,(-1.17%)
EA,Electronic Arts,0.15%,204.23,0.01,(0.00%)
BKR,Baker Hughes,0.15%,50.39,0.19,(0.38%)
AXON,Axon Enterprise Inc.,0.15%,622.47,9.49,(1.55%)
FAST,Fastenal,0.14%,42.04,0.24,(0.57%)
TTWO,Take-Two Interactive,0.14%,253.33,0.95,(0.38%)
ROP,Roper Technologies,0.14%,433.97,-0.5,(-0.12%)
MSTR,MicroStrategy Inc.,0.14%,157.64,-9.33,(-5.59%)
DDOG,Datadog,0.13%,128.29,-2.39,(-1.83%)
XEL,Xcel Energy,0.13%,74.86,1.48,(2.02%)
EXC,Exelon,0.13%,43.63,0.18,(0.42%)
FANG,Diamondback Energy,0.13%,147.08,-0.59,(-0.40%)
CTSH,Cognizant,0.12%,85.76,-0.01,(-0.01%)
PAYX,Paychex,0.12%,113.88,-0.37,(-0.33%)
MCHP,Microchip Technology,0.12%,74.57,1.04,(1.42%)
CCEP,Coca-Cola Europacific Partners,0.12%,88.69,0.55,(0.62%)
GEHC,GE HealthCare,0.12%,86.79,-1.37,(-1.55%)
TEAM,Atlassian,0.11%,144.82,-4.61,(-3.09%)
CPRT,Copart,0.11%,39.31,0.27,(0.69%)
KDP,Keurig Dr Pepper,0.11%,27.59,-0.02,(-0.07%)
ODFL,Old Dominion Freight Line,0.11%,171.65,0.58,(0.34%)
ZS,Zscaler,0.10%,216.37,-3.95,(-1.79%)
VRSK,Verisk,0.09%,223.84,0.99,(0.44%)
BIIB,Biogen,0.08%,189.93,3.93,(2.12%)
KHC,Kraft Heinz,0.08%,23.25,-0.18,(-0.79%)
CHTR,Charter Communications,0.08%,204.62,-5.09,(-2.43%)
DXCM,DexCom,0.08%,66.56,-1.87,(-2.73%)
CSGP,CoStar Group,0.08%,60.6,-0.76,(-1.23%)
ON,Onsemi,0.07%,62.17,1.28,(2.11%)
LULU,Lululemon Athletica,0.07%,208.04,-4.13,(-1.95%)
GFS,GlobalFoundries,0.06%,39.3,0.39,(0.99%)
TTD,Trade Desk (The),0.05%,36.9,-0.4,(-1.07%)
CDW,CDW Corporation,0.05%,131.96,-0.57,(-0.43%)
