Symbol,Name,Weight,Chg,% Chg
GS,"The Goldman Sachs Group, Inc.",11.78%,-5.41,(-0.58%)
CAT,Caterpillar Inc.,8.30%,-7.07,(-1.06%)
MSFT,Microsoft Corporation,5.43%,-3.17,(-0.73%)
HD,"The Home Depot, Inc.",4.70%,1.23,(0.33%)
SHW,Sherwin-Williams,4.45%,-1.4,(-0.39%)
AXP,American Express Company,4.43%,-7.4,(-2.06%)
AMGN,Amgen Inc.,4.30%,-2.11,(-0.62%)
V,Visa Inc.,4.08%,-8.36,(-2.52%)
MCD,McDonald's Corporation,3.97%,-1.0,(-0.32%)
IBM,International Business Machines Corporation,3.86%,-3.29,(-1.06%)
JPM,JPMorgan Chase & Co.,3.86%,-0.61,(-0.20%)
UNH,UnitedHealth Group Incorporated,3.61%,-6.17,(-2.11%)
TRV,"The Travelers Companies, Inc.",3.58%,-0.59,(-0.21%)
AAPL,Apple Inc.,3.25%,-0.21,(-0.08%)
AMZN,"Amazon.com, Inc.amazon.com",3.03%,-1.39,(-0.58%)
BA,The Boeing Company,2.95%,-0.16,(-0.07%)
JNJ,Johnson & Johnson,2.87%,0.15,(0.07%)
HON,Honeywell International Inc.,2.86%,-0.01,(-0.01%)
CRM,"Salesforce, Inc.",2.68%,-1.3,(-0.61%)
NVDA,Nvidia,2.41%,-1.32,(-0.69%)
CVX,Chevron Corporation,2.22%,4.77,(2.79%)
MMM,3M Company,1.93%,-3.65,(-2.34%)
PG,The Procter & Gamble Company,1.91%,1.61,(1.08%)
WMT,Walmart Inc.,1.50%,1.68,(1.43%)
DIS,The Walt Disney Company,1.42%,0.75,(0.67%)
MRK,"Merck & Co., Inc.",1.39%,1.57,(1.45%)
CSCO,"Cisco Systems, Inc.",0.99%,-0.29,(-0.37%)
KO,The Coca-Cola Company,0.94%,1.03,(1.40%)
NKE,"Nike, Inc.",0.78%,-0.99,(-1.58%)
VZ,Verizon Communications Inc.,0.56%,4.48,(11.26%)
