Symbol,Name,Weight,Chg,% Chg
NVDA,Nvidia,13.14%,-0.78,(-0.43%)
AAPL,Apple Inc.,11.32%,-2.77,(-1.06%)
MSFT,Microsoft,9.06%,6.06,(1.50%)
AMZN,Amazon,6.98%,2.12,(0.98%)
GOOGL,Alphabet Inc. (Class A),5.59%,-2.11,(-0.70%)
GOOG,Alphabet Inc. (Class C),5.22%,-2.3,(-0.76%)
META,Meta Platforms,5.02%,0.78,(0.12%)
AVGO,Broadcom Inc.,4.72%,18.09,(5.70%)
TSLA,"Tesla, Inc.",4.52%,-0.51,(-0.13%)
WMT,Walmart,2.94%,-3.52,(-2.75%)
ASML,ASML Holding,1.61%,7.57,(0.54%)
MU,Micron Technology,1.34%,0.53,(0.13%)
COST,Costco,1.31%,-15.29,(-1.52%)
NFLX,Netflix,1.24%,0.48,(0.48%)
PLTR,Palantir Technologies,1.10%,2.4,(1.56%)
AMD,Advanced Micro Devices Inc.,0.98%,-0.18,(-0.09%)
CSCO,Cisco,0.95%,0.05,(0.06%)
AMAT,Applied Materials,0.83%,-3.68,(-1.03%)
LRCX,Lam Research,0.82%,-1.78,(-0.80%)
TMUS,T-Mobile US,0.71%,-1.46,(-0.67%)
INTC,Intel,0.68%,0.61,(1.33%)
LIN,Linde plc,0.68%,-3.59,(-0.72%)
PEP,PepsiCo,0.66%,-1.48,(-0.90%)
AMGN,Amgen,0.60%,-5.15,(-1.36%)
KLAC,KLA Corporation,0.57%,-3.15,(-0.21%)
TXN,Texas Instruments,0.54%,-0.55,(-0.27%)
GILD,Gilead Sciences,0.54%,-2.84,(-1.91%)
ISRG,Intuitive Surgical,0.52%,-3.5,(-0.70%)
SHOP,Shopify,0.52%,5.42,(4.18%)
APP,Applovin Corp,0.51%,23.2,(4.81%)
ADI,Analog Devices,0.49%,-2.1,(-0.62%)
HON,Honeywell,0.46%,-3.55,(-1.44%)
QCOM,Qualcomm,0.44%,-0.48,(-0.35%)
BKNG,Booking Holdings,0.43%,335.32,(7.88%)
PDD,PDD Holdings,0.43%,-0.28,(-0.28%)
PANW,Palo Alto Networks,0.40%,5.0,(3.15%)
ARM,Arm Holdings,0.39%,0.07,(0.06%)
INTU,Intuit,0.38%,21.95,(4.99%)
VRTX,Vertex Pharmaceuticals,0.36%,-5.05,(-1.06%)
CEG,Constellation Energy,0.35%,5.53,(1.71%)
ADBE,Adobe Inc.,0.35%,10.72,(3.93%)
CMCSA,Comcast,0.34%,-0.27,(-0.83%)
SBUX,Starbucks,0.33%,1.28,(1.32%)
CRWD,CrowdStrike,0.32%,17.92,(4.40%)
MELI,MercadoLibre,0.27%,30.79,(1.74%)
WDC,Western Digital,0.27%,6.17,(2.36%)
ADP,ADP,0.26%,2.24,(1.03%)
MAR,Marriott International,0.26%,-5.21,(-1.55%)
SNPS,Synopsys,0.25%,11.83,(2.74%)
STX,Seagate Technology Holdings,0.25%,0.92,(0.24%)
CDNS,Cadence Design Systems,0.25%,1.79,(0.59%)
ABNB,Airbnb,0.25%,3.11,(2.29%)
DASH,DoorDash,0.24%,12.15,(6.84%)
REGN,Regeneron Pharmaceuticals,0.24%,-18.87,(-2.40%)
CTAS,Cintas,0.24%,-0.83,(-0.41%)
ORLY,O'Reilly Automotive,0.24%,0.21,(0.22%)
CSX,CSX Corporation,0.23%,-0.75,(-1.74%)
MNST,Monster Beverage,0.22%,-1.36,(-1.72%)
MDLZ,Mondelez International,0.22%,-0.57,(-0.97%)
AEP,American Electric Power,0.21%,-1.54,(-1.15%)
MRVL,Marvell Technology,0.21%,1.2,(1.54%)
WBD,Warner Bros. Discovery,0.21%,-0.05,(-0.20%)
ROST,Ross Stores,0.20%,0.02,(0.01%)
PCAR,Paccar,0.19%,-2.06,(-1.65%)
FTNT,Fortinet,0.18%,1.14,(1.37%)
BKR,Baker Hughes,0.18%,-0.17,(-0.29%)
ADSK,Autodesk,0.16%,3.92,(1.52%)
FAST,Fastenal,0.16%,1.7,(3.66%)
NXPI,NXP Semiconductors,0.16%,-2.21,(-1.02%)
MPWR,Monolithic Power Systems,0.16%,-9.67,(-0.88%)
FANG,Diamondback Energy,0.15%,0.94,(0.53%)
