Symbol,Name,Weight,Chg,% Chg
NVDA,Nvidia,7.31%,-1.53,(-0.84%)
AAPL,Apple Inc.,6.12%,-3.95,(-1.55%)
MSFT,Microsoft,4.85%,-7.51,(-1.88%)
AMZN,Amazon,3.76%,-5.12,(-2.38%)
GOOGL,Alphabet Inc. (Class A),3.21%,-3.18,(-1.02%)
GOOG,Alphabet Inc. (Class C),2.98%,-2.9,(-0.94%)
META,Meta Platforms,2.59%,-7.37,(-1.18%)
AVGO,Broadcom,2.49%,-5.79,(-1.80%)
TSLA,"Tesla, Inc.",2.46%,-5.81,(-1.45%)
BRK.B,Berkshire Hathaway,1.74%,-7.72,(-1.57%)
WMT,Walmart,1.62%,-2.88,(-2.30%)
LLY,Lilly (Eli),1.36%,-14.1,(-1.52%)
JPM,JPMorgan Chase,1.29%,0.68,(0.24%)
XOM,ExxonMobil,1.10%,-1.03,(-0.65%)
V,Visa Inc.,0.96%,-9.0,(-2.92%)
JNJ,Johnson & Johnson,0.95%,-0.62,(-0.26%)
MU,Micron Technology,0.84%,-12.36,(-2.68%)
ORCL,Oracle Corporation,0.73%,-2.23,(-1.44%)
MA,Mastercard,0.73%,-17.09,(-3.37%)
COST,Costco,0.72%,-16.07,(-1.61%)
NFLX,Netflix,0.67%,0.19,(0.20%)
CVX,Chevron Corporation,0.66%,0.84,(0.42%)
ABBV,AbbVie,0.61%,-11.38,(-5.18%)
PLTR,Palantir Technologies,0.61%,-2.62,(-1.69%)
PG,Procter & Gamble,0.57%,-4.67,(-3.08%)
BAC,Bank of America,0.56%,-0.52,(-1.10%)
HD,Home Depot (The),0.55%,-10.56,(-3.09%)
KO,Coca-Cola Company (The),0.54%,-1.6,(-2.06%)
AMD,Advanced Micro Devices,0.54%,3.35,(1.71%)
CAT,Caterpillar Inc.,0.54%,-6.1,(-0.87%)
GE,GE Aerospace,0.53%,-1.39,(-0.46%)
CSCO,Cisco,0.51%,-1.81,(-2.29%)
MRK,Merck & Co.,0.47%,-1.37,(-1.18%)
LRCX,Lam Research,0.47%,-0.99,(-0.44%)
AMAT,Applied Materials,0.47%,0.24,(0.07%)
RTX,RTX Corporation,0.46%,1.17,(0.58%)
PM,Philip Morris International,0.43%,-7.23,(-4.18%)
UNH,UnitedHealth Group,0.43%,-3.89,(-1.35%)
MS,Morgan Stanley,0.42%,1.21,(0.77%)
GS,Goldman Sachs,0.40%,-1.28,(-0.16%)
IBM,IBM,0.39%,-4.56,(-1.78%)
WFC,Wells Fargo,0.39%,-0.14,(-0.18%)
GEV,GE Vernova,0.38%,12.28,(1.45%)
LIN,Linde plc,0.38%,-3.4,(-0.69%)
TMUS,T-Mobile US,0.38%,-7.28,(-3.41%)
MCD,McDonald's,0.38%,-10.04,(-3.08%)
INTC,Intel,0.37%,0.82,(1.86%)
PEP,PepsiCo,0.35%,-2.81,(-1.80%)
VZ,Verizon,0.35%,-0.95,(-1.88%)
AXP,American Express,0.34%,-6.29,(-2.10%)
KLAC,KLA Corporation,0.32%,2.65,(0.18%)
T,AT&T,0.32%,-0.45,(-1.62%)
