Symbol,Name
ADANIENT.NS,Adani Enterprises Ltd.
ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.
APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.
ASIANPAINT.NS,Asian Paints Ltd.
AXISBANK.NS,Axis Bank Ltd.
BAJAJ-AUTO.NS,Bajaj Auto Ltd.
BAJFINANCE.NS,Bajaj Finance Ltd.
BAJAJFINSV.NS,Bajaj Finserv Ltd.
BEL.NS,Bharat Electronics Ltd.
BHARTIARTL.NS,Bharti Airtel Ltd.
CIPLA.NS,Cipla Ltd.
COALINDIA.NS,Coal India Ltd.
DRREDDY.NS,Dr. Reddy's Laboratories Ltd.
EICHERMOT.NS,Eicher Motors Ltd.
ETERNAL.NS,Eternal Ltd.
GRASIM.NS,Grasim Industries Ltd.
HCLTECH.NS,HCL Technologies Ltd.
HDFCBANK.NS,HDFC Bank Ltd.
HDFCLIFE.NS,HDFC Life Insurance Company Ltd.
HINDALCO.NS,Hindalco Industries Ltd.
HINDUNILVR.NS,Hindustan Unilever Ltd.
ICICIBANK.NS,ICICI Bank Ltd.
ITC.NS,ITC Ltd.
INFY.NS,Infosys Ltd.
INDIGO.NS,InterGlobe Aviation Ltd.
JSWSTEEL.NS,JSW Steel Ltd.
JIOFIN.NS,Jio Financial Services Ltd.
KOTAKBANK.NS,Kotak Mahindra Bank Ltd.
LT.NS,Larsen & Toubro Ltd.
M&M.NS,Mahindra & Mahindra Ltd.
MARUTI.NS,Maruti Suzuki India Ltd.
MAXHEALTH.NS,Max Healthcare Institute Ltd.
NTPC.NS,NTPC Ltd.
NESTLEIND.NS,Nestle India Ltd.
ONGC.NS,Oil & Natural Gas Corporation Ltd.
POWERGRID.NS,Power Grid Corporation of India Ltd.
RELIANCE.NS,Reliance Industries Ltd.
SBILIFE.NS,SBI Life Insurance Company Ltd.
SHRIRAMFIN.NS,Shriram Finance Ltd.
SBIN.NS,State Bank of India
SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd.
TCS.NS,Tata Consultancy Services Ltd.
TATACONSUM.NS,Tata Consumer Products Ltd.
TMPV.NS,Tata Motors Passenger Vehicles Ltd.
TATASTEEL.NS,Tata Steel Ltd.
TECHM.NS,Tech Mahindra Ltd.
TITAN.NS,Titan Company Ltd.
TRENT.NS,Trent Ltd.
ULTRACEMCO.NS,UltraTech Cement Ltd.
WIPRO.NS,Wipro Ltd.
