Symbol,Name,Weight,Chg,% Chg
GS,"The Goldman Sachs Group, Inc.",10.42%,12.24,(1.56%)
CAT,Caterpillar Inc.,9.16%,4.38,(0.63%)
MSFT,Microsoft Corporation,5.24%,3.9,(0.99%)
AMGN,Amgen Inc.,4.80%,-0.21,(-0.06%)
HD,"The Home Depot, Inc.",4.49%,3.19,(0.94%)
MCD,McDonald's Corporation,4.28%,0.06,(0.02%)
SHW,Sherwin-Williams,4.24%,3.07,(0.96%)
V,Visa Inc.,4.06%,2.6,(0.85%)
TRV,"The Travelers Companies, Inc.",4.00%,2.25,(0.74%)
AXP,American Express Company,3.91%,-1.86,(-0.62%)
JPM,JPMorgan Chase & Co.,3.75%,2.47,(0.87%)
UNH,UnitedHealth Group Incorporated,3.75%,3.65,(1.29%)
AAPL,Apple Inc.,3.32%,2.59,(1.03%)
IBM,International Business Machines Corporation,3.27%,2.91,(1.18%)
JNJ,Johnson & Johnson,3.19%,1.89,(0.78%)
HON,Honeywell International Inc.,3.08%,0.47,(0.20%)
BA,The Boeing Company,2.80%,3.59,(1.71%)
AMZN,"Amazon.com, Inc.amazon.com",2.78%,3.84,(1.85%)
CRM,"Salesforce, Inc.",2.60%,5.42,(2.81%)
CVX,Chevron Corporation,2.58%,-0.04,(-0.02%)
NVDA,Nvidia,2.39%,2.27,(1.26%)
PG,The Procter & Gamble Company,1.99%,1.22,(0.81%)
MMM,3M Company,1.96%,-1.28,(-0.85%)
WMT,Walmart Inc.,1.65%,-0.59,(-0.47%)
MRK,"Merck & Co., Inc.",1.52%,-0.12,(-0.10%)
DIS,The Walt Disney Company,1.29%,-0.73,(-0.73%)
CSCO,"Cisco Systems, Inc.",1.03%,0.47,(0.59%)
KO,The Coca-Cola Company,1.02%,0.48,(0.63%)
NKE,"Nike, Inc.",0.72%,0.81,(1.50%)
VZ,Verizon Communications Inc.,0.67%,-0.31,(-0.61%)
