Symbol,Name,Weight,Chg,% Chg
NVDA,Nvidia,13.26%,-2.61,(-1.46%)
AAPL,Apple Inc.,11.33%,-0.09,(-0.03%)
MSFT,Microsoft,8.85%,-4.79,(-1.23%)
AMZN,Amazon,6.89%,-1.82,(-0.87%)
GOOGL,Alphabet Inc. (Class A),5.86%,-5.09,(-1.66%)
GOOG,Alphabet Inc. (Class C),5.45%,-4.93,(-1.61%)
META,Meta Platforms,4.66%,-12.43,(-2.05%)
AVGO,Broadcom Inc.,4.65%,-3.34,(-1.04%)
TSLA,"Tesla, Inc.",4.38%,-4.31,(-1.13%)
WMT,Walmart,2.95%,-1.87,(-1.55%)
ASML,ASML Holding,1.58%,-45.38,(-3.32%)
MU,Micron Technology,1.51%,-13.04,(-2.94%)
COST,Costco,1.34%,1.66,(0.17%)
NFLX,Netflix,1.20%,-0.39,(-0.42%)
PLTR,Palantir Technologies,1.13%,-2.75,(-1.77%)
AMD,Advanced Micro Devices Inc.,1.02%,-2.95,(-1.44%)
CSCO,Cisco,0.96%,-0.26,(-0.33%)
LRCX,Lam Research,0.89%,-3.96,(-1.69%)
AMAT,Applied Materials,0.87%,-2.21,(-0.62%)
LIN,Linde plc,0.71%,4.46,(0.91%)
TMUS,T-Mobile US,0.71%,0.84,(0.41%)
INTC,Intel,0.70%,-0.7,(-1.51%)
PEP,PepsiCo,0.64%,-0.92,(-0.60%)
KLAC,KLA Corporation,0.61%,-23.17,(-1.53%)
AMGN,Amgen,0.58%,-1.17,(-0.33%)
TXN,Texas Instruments,0.53%,0.95,(0.50%)
GILD,Gilead Sciences,0.53%,-2.96,(-2.10%)
ISRG,Intuitive Surgical,0.53%,-0.17,(-0.03%)
SHOP,Shopify,0.48%,-3.67,(-3.00%)
ADI,Analog Devices,0.47%,-0.72,(-0.23%)
APP,Applovin Corp,0.46%,-1.97,(-0.45%)
ARM,Arm Holdings,0.45%,5.58,(4.29%)
HON,Honeywell,0.44%,-6.48,(-2.83%)
QCOM,Qualcomm,0.43%,0.08,(0.06%)
PDD,PDD Holdings,0.43%,-0.39,(-0.40%)
BKNG,Booking Holdings,0.42%,1.02,(0.02%)
PANW,Palo Alto Networks,0.41%,-5.51,(-3.25%)
INTU,Intuit,0.40%,5.42,(1.19%)
VRTX,Vertex Pharmaceuticals,0.36%,-1.19,(-0.26%)
CEG,Constellation Energy,0.34%,-17.53,(-5.54%)
SBUX,Starbucks,0.33%,-2.01,(-2.10%)
CMCSA,Comcast,0.33%,0.34,(1.19%)
CRWD,CrowdStrike,0.32%,-17.1,(-3.99%)
WDC,Western Digital,0.32%,-14.87,(-4.69%)
ADBE,Adobe Inc.,0.31%,0.58,(0.24%)
STX,Seagate Technology Holdings,0.30%,-8.45,(-1.94%)
MAR,Marriott International,0.26%,-3.88,(-1.19%)
ADP,ADP,0.26%,0.14,(0.07%)
MELI,MercadoLibre,0.26%,-1.47,(-0.09%)
SNPS,Synopsys,0.25%,-3.39,(-0.79%)
CDNS,Cadence Design Systems,0.24%,-1.07,(-0.37%)
MRVL,Marvell Technology,0.24%,0.04,(0.04%)
REGN,Regeneron Pharmaceuticals,0.24%,0.39,(0.05%)
ABNB,Airbnb,0.24%,-1.25,(-0.96%)
ORLY,O'Reilly Automotive,0.23%,-0.87,(-0.99%)
CTAS,Cintas,0.23%,0.32,(0.17%)
MDLZ,Mondelez International,0.23%,0.21,(0.37%)
MNST,Monster Beverage,0.22%,0.05,(0.07%)
CSX,CSX Corporation,0.22%,-0.09,(-0.22%)
AEP,American Electric Power,0.21%,-1.3,(-1.01%)
WBD,Warner Bros. Discovery,0.21%,-0.0,(-0.02%)
ROST,Ross Stores,0.21%,-0.74,(-0.35%)
DASH,DoorDash,0.21%,-4.2,(-2.64%)
BKR,Baker Hughes,0.19%,0.25,(0.42%)
FTNT,Fortinet,0.19%,-1.7,(-2.05%)
PCAR,Paccar,0.18%,-0.68,(-0.60%)
FANG,Diamondback Energy,0.17%,4.1,(2.16%)
MPWR,Monolithic Power Systems,0.16%,-10.19,(-0.93%)
ADSK,Autodesk,0.16%,-0.71,(-0.28%)
