Symbol,Name,Weight,Chg,% Chg
NVDA,Nvidia,7.33%,-0.99,(-0.54%)
AAPL,Apple Inc.,6.18%,-1.79,(-0.70%)
MSFT,Microsoft,4.91%,-2.76,(-0.69%)
AMZN,Amazon,3.71%,-0.9,(-0.43%)
GOOGL,Alphabet Inc. (Class A),3.16%,1.5,(0.50%)
GOOG,Alphabet Inc. (Class C),2.95%,1.36,(0.45%)
META,Meta Platforms,2.60%,-18.41,(-2.88%)
AVGO,Broadcom,2.57%,-8.79,(-2.62%)
TSLA,"Tesla, Inc.",2.44%,-2.27,(-0.58%)
BRK.B,Berkshire Hathaway,1.76%,0.87,(0.18%)
WMT,Walmart,1.66%,0.46,(0.37%)
LLY,Lilly (Eli),1.47%,15.94,(1.63%)
JPM,JPMorgan Chase,1.28%,3.37,(1.19%)
XOM,ExxonMobil,1.06%,0.45,(0.29%)
V,Visa Inc.,0.98%,1.92,(0.63%)
JNJ,Johnson & Johnson,0.97%,2.21,(0.91%)
MU,Micron Technology,0.78%,12.51,(3.09%)
COST,Costco,0.74%,6.51,(0.65%)
ORCL,Oracle Corporation,0.74%,-3.37,(-2.11%)
MA,Mastercard,0.74%,0.33,(0.07%)
NFLX,Netflix,0.66%,0.4,(0.42%)
ABBV,AbbVie,0.65%,-2.24,(-0.99%)
CVX,Chevron Corporation,0.64%,-1.96,(-0.99%)
PLTR,Palantir Technologies,0.59%,-4.19,(-2.73%)
PG,Procter & Gamble,0.58%,0.75,(0.50%)
BAC,Bank of America,0.57%,0.48,(1.02%)
HD,Home Depot (The),0.56%,2.8,(0.83%)
KO,Coca-Cola Company (The),0.55%,-0.21,(-0.27%)
CAT,Caterpillar Inc.,0.53%,-11.11,(-1.59%)
AMD,Advanced Micro Devices,0.53%,-2.22,(-1.12%)
GE,GE Aerospace,0.52%,-6.11,(-1.99%)
CSCO,Cisco,0.51%,0.52,(0.67%)
MRK,Merck & Co.,0.48%,0.4,(0.34%)
AMAT,Applied Materials,0.45%,5.89,(1.75%)
RTX,RTX Corporation,0.45%,-0.29,(-0.14%)
PM,Philip Morris International,0.45%,2.28,(1.33%)
LRCX,Lam Research,0.44%,4.52,(2.16%)
UNH,UnitedHealth Group,0.42%,4.21,(1.52%)
MS,Morgan Stanley,0.41%,1.86,(1.21%)
TMUS,T-Mobile US,0.39%,1.75,(0.81%)
GS,Goldman Sachs,0.39%,5.52,(0.70%)
WFC,Wells Fargo,0.39%,0.65,(0.86%)
MCD,McDonald's,0.38%,1.65,(0.51%)
IBM,IBM,0.38%,-1.98,(-0.80%)
LIN,Linde plc,0.38%,5.7,(1.16%)
INTC,Intel,0.38%,0.38,(0.85%)
PEP,PepsiCo,0.36%,1.22,(0.77%)
GEV,GE Vernova,0.36%,-24.41,(-2.93%)
